Russian,English
информации,information
войну,War
письма,Letters
бумаги,Papers
холодно,cold
руками,hands
томас,Thomas
упал,fell
моими,mine
отношение,attitude
карл,Charles
ма,ma
операция,operation
судьба,fate
of,of
любимый,Darling
задать,Set
папочка,daddy
внезапно,suddenly
временем,time
представляю,Imagine
церковь,church
решения,solutions
чувствовал,I felt
чудесно,wonderful
специально,specially
маленькие,Small
дурак,fool
ад,hell
мальчики,Boys
начинает,Starts
компьютер,a computer
станешь,You will become
продолжайте,Continue
роберт,Robert
урок,lesson
кровью,blood
глазами,Eyes
занимается,engaged
линии,lines
люк,Luke
брать,take
давать,give
вновь,again
трое,three
девушек,girls
чё,what
услышал,I heard
вызвать,call
работали,worked
позвонила,I called
бороться,fight
остановись,Stop
вариант,option
послал,Sent
назвать,Name
просила,I asked
ход,move
положение,position
вернемся,Let's get back
уходим,We leave
уилл,Will
связано,related
каждой,Everyone
звонит,Calls
роман,novel
миру,The world
беспокоит,worries
кэтрин,Catherine
номера,numbers
комнаты,rooms
прекрасная,Beautiful
победить,win
правительство,government
ищет,Looking
систему,system
попросила,I asked
операцию,Operation
ногу,leg
поступил,entered
прошлый,last
живёт,Lives
герой,hero
воздух,air
живут,Live
читал,was reading
адвоката,lawyer
поступить,to do
поможешь,Help
адам,Adam
люси,Lucy
чудо,miracle
разных,different
школа,school
курс,well
c,C.
отель,hotel
задание,exercise
приехать,come
умру,I will die
телефона,phone
считать,count
ценю,I appreciate
мечты,Dreams
родился,was born
работой,work
вспомнить,recall
виде,form
похожи,similar
слышите,Hear
уходит,Leaving
понимает,understands
угу,yes
кровати,beds
умоляю,I beg
срок,term
действовать,act
мужем,husband
извиниться,apologize
пахнет,It smells
дух,spirit
лучших,the best
отдел,Department
будущем,future
большим,Big
беспокоиться,worry
узнаем,We will find out
интервью,interview
скотт,Scott
сыном,son
предлагаю,I propose
убит,Killed
болит,hurts
каждое,Each
встретились,Meet
итоге,Condition
мяч,ball
закрой,shut the
умею,I can
справлюсь,I can handle it
убедить,to convince
остановиться,stay
возвращайся,Return
цели,goals
форме,form
сидит,sits
королева,queen
дождь,rain
отдал,gave
бывший,former
едет,Rides
во-первых,firstly
танцевать,dance
пива,beer
причин,reasons
обязан,must
проклятье,Damn
колледж,college
мозга,brain
оставайся,Stay
системы,systems
карты,cards
просить,ask
садитесь,sit down
хорошей,Good
душ,shower
смогут,They can
камень,stone
волнуйтесь,worry
страну,country
звонить,Call
проводить,conduct
ура,Hurrah
мёртв,dead
смотрит,Looks
детям,children
мужчиной,man
труп,dead body
вино,wine
армии,Army
убивал,Killed
вкусно,delicious
заставляет,Makes
любое,Anyone
которыми,which
твоём,yours
малышка,baby
эбби,Abby
правило,Rule
кровать,bed
кабинет,cabinet
чарльз,Charles
баре,bar
действия,actions
ситуацию,situation
убрать,put away
жениться,marry
ходил,went
джона,John
исчез,Gone
келли,Kelly
погиб,Died
зрения,vision
счастье,happiness
желаю,wish
давление,pressure
душе,Soul
м-р,Mr.
взгляни,Take a look
основном,Mainly
прошел,passed
душа,soul
свадьбу,Wedding
тюрьмы,prison
отдохнуть,relax
фунтов,pounds
встать,get up
произойдет,will happen
дженни,Jenny
миллион,million
святого,saint
глубоко,deep
сзади,behind
святой,St
подобного,Similar
предложил,proposed
пит,Pete
значение,meaning
отеле,hotel
позади,behind
идеально,perfect
занимаюсь,I am engaged
занимался,Engaged
нескольких,several
подобное,Similar
мозги,brain
несчастный,unhappy
рассказывал,told
считаете,You think
выходи,Come out
in,in
полной,complete
нью-йорке,New York
свадьбы,Weddings
мамочка,mommy
страх,fear
появится,will appear
банк,bank
носить,wear
отпечатки,Prints
ничем,nothing
чак,Chuck
возрасте,age
горжусь,I am proud
выиграл,won
принесла,Bring
встрече,meeting
нибудь,something
приходить,come
следить,track
лео,Leo
ног,legs
лекарство,medicine
лучшим,the best
тип,type of
умирает,dies
признать,Recognize
воспоминания,memories
имеют,have
защиты,protection
билет,ticket
выпьем,Let's drink
работаем,We work
купила,I bought it
выиграть,win
трогай,Try
магазине,store
красный,red
петь,sing
название,title
вытащить,pull out
сестру,sister
отвечать,reply
отпустите,Let go
кевин,Kevin
контролировать,to control
чёрта,Damn
власть,power
вторая,The second
волноваться,worry
бросила,Threw it
спрашиваю,I ask
секса,sex
данный,the
l,L.
красивый,beautiful
джентльмены,Gentlemen
суть,The essence
уши,ears
оставили,left
начинаю,Starting
сотни,Hundreds
связаться,contact
окна,window
доброй,Good
майор,Major
держаться,hold on
цру,CIA
штаны,pants
занята,busy
отвали,back off
цвет,color
получу,I will get it
сидел,Sitting
случается,It happens
хозяин,master
учиться,to study
некоторых,Some
прошли,passed
погодите,Wait
некоторое,Some
братом,brother
считают,consider
новым,new
показалось,It seemed
целую,kiss
поблагодарить,give thanks
количество,amount
лекарства,Medicines
сумасшедший,crazy
расскажите,Tell us
ожидал,Expected
элис,Alice
умрет,It will die
грейс,Grace
слухи,rumors
участок,site
улицу,Street
классно,cool
животных,animals
изменилось,Changed
странный,strange
передай,Give it
ди,di
надеялся,Hoping
собственной,own
гости,guests
как-нибудь,Somehow
дэн,Dan
контроль,control
грудь,breast
братья,Brothers
миль,Miles
улики,evidence
огромное,Huge
замок,lock
данных,data
дому,home
районе,area
сядь,Sit down
наоборот,vice versa
богом,God
элли,Ellie
создать,create
закончилось,It ended
отвечает,answers
побыть,to stay
поесть,Eat
умеешь,You know how
лесу,forest
самому,Himself
алан,Alan
отправил,Sent
деньгами,money
принеси,Bring
таблетки,tablets
ресторан,restaurant
нашему,ours
поверьте,Believe me
включая,including
живо,lively
мужчину,man
придумал,invented
шериф,sheriff
хрена,crap
ханна,Hannah
собирались,Gathered
половину,half
ён,Yon
забыли,forgot
сделайте,Make it
удовольствие,pleasure
стараюсь,trying
проходит,passes
спала,sleeping
автобус,bus
настоящие,Real
me,me
узнаешь,You will find out
спроси,ask
лучшего,the best
придумать,come up with
вечеринке,Party
пользу,benefit
появилась,appeared
списке,list
лежит,Lies
живой,alive
счастливы,Happy
понимать,understand
плохое,bad
любого,Anyone
зубы,teeth
кухне,kitchen
попытаться,to attempt
расскажешь,Tell me
буквально,literally
клиентов,customers
ван,van
копы,cops
no,No
великий,great
пяти,Five
прием,Reception
скучно,boring
приходил,Came
песни,songs
девчонка,Girl
рукой,hand
попала,I got it
джош,Josh
проект,project
бой,the battle
естественно,naturally
стивен,Stephen
всё-таки,Still
увидите,See
процесс,process
делайте,do it
вызов,call
ниже,below
рейчел,Rachel
перерыв,break
дерьма,shit
принцесса,Princess
само,Sam
врн,VRN
ненадолго,not for long
радостью,joy
ответил,answered
убьет,Kill
тед,Ted
короче,shorter
провел,Spended
сесть,Sit down
вечеринки,Parties
попробуем,Let's try
теб,Teb
вернётся,will return
разберусь,I'll figure it out
умный,smart
поймали,Caught
ак,Ak
кошмар,nightmare
днём,In the afternoon
дорога,road
общего,general
жертв,victims
ведет,leads
очки,glasses
барри,Barry
чикаго,Chicago
найдём,Find
игре,game
официально,officially
попробую,I'll try
какой-нибудь,some
энн,Ann
женат,married
совпадение,coincidence
начальник,Chief
убивает,Killing
терпеть,tolerate
счастью,happiness
гей,gay
ну-ка,Well
множество,lots of
убьют,will kill
болезнь,disease
свидетель,witness
тему,topic
элизабет,Elizabeth
службы,services
положи,put
пригласить,to invite
бояться,afraid
точки,Points
голоса,vote
дин,Dean
собрать,Collect
памяти,memory
хороша,Good
думаем,We think
пригласил,invited
классе,class
проверь,Check
парню,guy
этo,This
убийцы,the killers
вину,guilt
ю,Yu
харви,Harvey
больницы,hospitals
смертью,death
всякий,any
принц,prince
бойся,Fear
надеяться,hope
поднять,Raise
обнаружили,discovered
перестать,stop
отойди,Fasten
покинуть,Leave
чувствует,Feeling
нелегко,not easy
ими,them
m,m
оказаться,be
жила,lived
избежать,to avoid
старший,older
представляет,represents
столе,table
ошибки,Errors
половина,half
смей,Smell
заботиться,take care
лаборатории,laboratories
любим,love
успокойтесь,Calm down
имеем,We have
последней,last
вызывает,Calls
важнее,more important
первые,The first
убийцу,The killer
полегче,easier
женщине,woman
жили,Once upon a time
позволил,allowed
груди,breasts
праздник,holiday
умеет,Able
присоединиться,join
черный,black
опыт,an experience
бред,rave
болен,is sick
су,Su
источник,source
собираются,Gathering
любимая,darling
куда-нибудь,somewhere
занимаешься,You are engaged
каким-то,Somehow
картер,Carter
эмма,Emma
побольше,More
закрыть,Close
ангел,angel
тренер,trainer
откройте,Open
какие-нибудь,some
ветер,wind
остров,island
первом,The first
семьей,family
интересует,Interested
беру,I take it
уехала,left
виновата,To blame
кэти,Katie
морган,Morgan
ищешь,Looking for
контракт,Contract
получите,Get it
телевизор,television
любите,Love
попали,hit
местах,places
ненавидит,He hates
целью,The goal
дольше,longer
полчаса,half an hour
согласны,agree
войне,war
осторожнее,Caution
замужем,married
звонки,calls
причине,reason
папой,dad
пойдёт,will go
роли,Roles
спишь,Sleep
управлять,to rule
собаку,Dog
бля,fucking
представь,Imagine
глава,chapter
постель,bed
правде,Truth
шум,noise
придут,They will come
ударил,hit
схожу,I'm going
провели,Spent
начинать,start off
внимательно,carefully
пятницу,Friday
проходите,Come on
кафе,Cafe
отказаться,refuse
поговори,Talk
предупредить,warn
свободу,Freedom
т,t
переживай,Really worry
начнём,Let's start
полная,Complete
руке,hand
улицы,streets
виски,whiskey
странное,Strange
фил,Phil
артур,Arthur
карту,card
знаком,sign
словами,words
оказывается,turns out
звоню,I'm calling
уолтер,Walter
энергии,energy
познакомились,We met
ларри,Larry
бежим,Run
сквозь,through
шлюха,whore
ордер,order
капитана,Captain
согласился,agreed
мертвы,Dead
класса,class
написала,wrote
париж,Paris
страна,country
умирать,die
зад,ass
счета,accounts
сильный,strong
ерунда,nonsense
дерево,wood
одолжение,favor
домом,home
колени,lap
выжить,survive
ждала,Waited
грузовик,truck
заплатил,Paid
путешествие,travel
узнают,Learn
чек,check
билеты,Tickets
достал,I got it
спину,back
останешься,You will stay
надолго,For a long time
рак,crayfish
помощник,assistant
парк,a park
стены,walls
кое-кто,Someone
да-да,Yes Yes
сработало,It worked
ощущение,Sensation
показал,showed
полу,Paul
находиться,be
девочек,girls
робин,Robin
карен,Karen
пёп,dog
любую,Any
ќе,b
зная,Knowing
сообщения,messages
именем,name
квартира,flat
анализ,analysis
другому,another
совершил,committed
оливер,Oliver
лошадь,horse
ответы,Answers
готовить,prepare
г-н,Mr.
субботу,Saturday
дышать,breathe
зла,evil
мэгги,Maggie
выгляжу,I look
разрешение,permission
девчонки,Girls
хрень,crap
секундочку,Second
перезвоню,I will call you back
миллиона,million
одиночку,Loner
займусь,I'll take it
увидит,See
боится,fears
одновременно,simultaneously
использовали,Used
спрашивал,He asked
лиза,Lisa
врать,lie
отказался,Refused
цвета,colors
жертву,victim
теми,those
куда-то,somewhere
метров,meters
горло,throat
дворе,courtyard
пропала,Gone
дитя,child
пошло,It went
небольшая,Small
станции,Stations
чувствовала,I felt
бедный,poor
статус,status
поведение,behavior
начинай,Start
ванной,bathroom
кабинете,cabinet
немножко,A little
извинения,apologies
здания,building
удастся,will succeed
виделись,We saw each other
пытаемся,Trying
отпустить,let go
спросила,asked
выходить,go out
извиняюсь,I'm sorry
свадьба,wedding
чего-нибудь,something
джесси,Jesse
марта,Martha
проверю,Check
контролем,control
we,We
отвезти,Take away
доверяю,I trust
найдешь,You will find
сражаться,fight
звезда,star
найдут,They will find it
заберу,I will take it
лагерь,camp
ходит,Walks
посреди,in the middle
звони,Call
браво,Bravo
мишель,Michelle
скорость,speed
использует,Uses
заслуживает,deserves
заметила,I noticed
спиной,back
где-нибудь,somewhere
прям,Straight
возвращается,Returns
положить,put
воскресенье,Sunday
чертов,Damn
мэтт,Matt
ть,t
камера,camera
впечатление,impression
оказалась,It turned out
корабля,ship
мясо,meat
обсуждать,discuss
фильма,film
нью-йорка,New York
разговаривал,Talking
штата,state
результат,result
крайне,Extremely
держит,Holds
доказательств,evidence
вселенной,universe
признаться,confess
необходимости,need
детали,details
ќо,ќ
группу,group
грустно,sad
штук,things
ком,com
эндрю,Andrew
меч,sword
убей,Kill
занять,take
одежда,clothes
бомба,bomb
on,on
чувствуете,Feel
кейси,Casey
поймал,Caught
ящик,box
работаете,Work
клубе,club
тоби,Toby
забудьте,Forget
живых,living
алиби,alibi
пройдет,will pass
проблему,problem
свободен,free
he,he
подойди,Come
каждая,Each
детстве,childhood
считал,I counted
налево,left
помни,Remember
девушке,girl
напоминает,reminds
дают,Give
увидели,See
фильме,film
постараюсь,will try
потребуется,would need
сестрой,sister
отношениях,relationship
отношений,relationships
доктором,Doctor
джин,gin
надежда,hope
приедет,will come
личное,Personal
обычный,ordinary
изменился,Changed
ужас,horror
салли,Sally
мэр,mayor
условия,terms
ай,ay
иисус,Jesus
ќн,ќn
научиться,learn to
играю,I play
разрешения,permission
нашими,ours
связаны,connected
пациент,a patient
обвинение,Accusation
жди,Wait
старше,Older
начну,I'll start
старой,Old
пропустил,missed
палец,finger
my,My
позабочусь,I will take care
d,D.
прошлого,of the past
сумку,bag
боялся,I was afraid
красивые,Beautiful
простить,Forgive
найдите,Find
франции,France
секреты,Secrets
верите,Believe
америке,America
ужасный,horrible
драться,fight
создал,Created
гостей,guests
колледже,College
нигде,Nowhere
заметили,Noticed
молли,Molly
позаботиться,Take care
терять,lose
рисковать,to risk
отдела,department
след,track
золото,gold
волос,hair
простой,simple
доктору,doctor
отстой,sucks
будущего,future
ровно,smooth
собрались,Gathered
совета,Council
штуку,thing
водой,water
саймон,Simon
спрашивать,to ask
приняли,Accepted
пытаются,Trying
воспользоваться,take advantage
требует,Requires
марти,Marty
живешь,Live
играешь,You play
клиента,client
позвонили,They called
стоял,stood
отпуск,vacation
аминь,Amen
движение,traffic
особенного,Special
каждом,Everyone
заняты,busy
наплевать,I don't give a damn
мечта,dream
надеть,put on
зал,Hall
арестовали,Arrested
виктор,Victor
шансы,Chances
минимум,minimum
оружием,weapons
неловко,awkward
захотел,Wanted
джейсон,Jason
начинаем,begin
понедельник,Monday
сне,dream
вернешься,You will return
риск,risk
сучка,bitch
попытка,attempt
скучать,miss
софи,Sophie
каждым,Each
